Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco,APRS,Latitude,Longitude,Use Location
1,GB7ZE DMR,Digital,433.0500,434.6500,,3,1,None,DMR GB7ZE,None,Off,Off,,,,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
2,GB3LR  Analogue,Analogue,430.8625,438.4625,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
3,GB3HY  Analogue,Analogue,430.9000,438.5000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
4,GB3HE  Analogue,Analogue,430.9250,438.5250,25,,,,,,,,88.5,103.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,GB3BH  Analogue,Analogue,430.9875,438.5875,25,,,,,,,,88.5,77,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,GB7ZE  Analogue,Analogue,433.0500,434.6500,25,,,,,,,,88.5,103.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,GB3MH  Analogue,Analogue,145.0250,145.6250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,GB3ES  Analogue,Analogue,145.0750,145.6750,25,,,,,,,,88.5,103.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,GB3WS  Analogue,Analogue,145.1500,145.7500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,GB7RX  Analogue,Analogue,145.1750,145.7750,25,,,,,,,,88.5,103.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,GB3EB  Analogue,Analogue,145.1875,145.7875,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB1 Analogue,Analogue,433.0250,434.6250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB2 Analogue,Analogue,433.0500,434.6500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB3 Analogue,Analogue,433.0750,434.6750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB4 Analogue,Analogue,433.1000,434.7000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB5 Analogue,Analogue,433.1250,434.7250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB6 Analogue,Analogue,433.1500,434.7500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB7 Analogue,Analogue,433.1750,434.7750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB8 Analogue,Analogue,433.2000,434.8000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB9 Analogue,Analogue,433.2250,434.8250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB10 Analogue,Analogue,433.2500,434.8500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB11 Analogue,Analogue,433.2750,434.8750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB12 Analogue,Analogue,433.3000,434.9000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB13 Analogue,Analogue,433.3250,434.9250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB14 Analogue,Analogue,433.3500,434.9500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RB15 Analogue,Analogue,433.3750,434.9750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU66 Analogue,Analogue,430.8250,438.4250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU67 Analogue,Analogue,430.8375,438.4375,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU68 Analogue,Analogue,430.8500,438.4500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU69 Analogue,Analogue,430.8625,438.4625,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU70 Analogue,Analogue,430.8750,438.4750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU71 Analogue,Analogue,430.8875,438.4875,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU72 Analogue,Analogue,430.9000,438.5000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU73 Analogue,Analogue,430.9125,438.5125,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU74 Analogue,Analogue,430.9250,438.5250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU75 Analogue,Analogue,430.9375,438.5375,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU76 Analogue,Analogue,430.9500,438.5500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU77 Analogue,Analogue,430.9625,438.5625,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU78 Analogue,Analogue,430.9750,438.5750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RU79 Analogue,Analogue,430.9875,438.5875,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV48 Analogue,Analogue,145.0000,145.6000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV49 Analogue,Analogue,145.0125,145.6125,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV50 Analogue,Analogue,145.0250,145.6250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV51 Analogue,Analogue,145.0375,145.6375,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV52 Analogue,Analogue,145.0500,145.6500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV53 Analogue,Analogue,145.0625,145.6625,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV54 Analogue,Analogue,145.0750,145.6750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV55 Analogue,Analogue,145.0875,145.6875,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV56 Analogue,Analogue,145.1000,145.7000,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV57 Analogue,Analogue,145.1125,145.7125,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV58 Analogue,Analogue,145.1250,145.7250,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV59 Analogue,Analogue,145.1375,145.7375,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV60 Analogue,Analogue,145.1500,145.7500,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV61 Analogue,Analogue,145.1625,145.7625,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV62 Analogue,Analogue,145.1750,145.7750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV63 Analogue,Analogue,145.1875,145.7875,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,RV64 Analogue,Analogue,144.5750,145.1750,25,,,,,,,,88.5,88.5,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V16 Analogue,Analogue,145.2000,145.2000,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V17 Analogue,Analogue,145.2125,145.2125,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V18 Analogue,Analogue,145.2250,145.2250,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V19 Analogue,Analogue,145.2375,145.2375,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V20 Analogue,Analogue,145.2500,145.2500,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V21 Analogue,Analogue,145.2625,145.2625,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V22 Analogue,Analogue,145.2750,145.2750,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V23 Analogue,Analogue,145.2750,145.2750,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V24 Analogue,Analogue,145.3000,145.3000,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V25 Analogue,Analogue,145.3125,145.3125,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V26 Analogue,Analogue,145.3250,145.3250,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V27 Analogue,Analogue,145.3375,145.3375,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V28 Analogue,Analogue,145.3500,145.3500,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V29 Analogue,Analogue,145.3625,145.3625,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V30 Analogue,Analogue,145.3750,145.3750,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V31 Analogue,Analogue,145.3875,145.3875,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V32 Analogue,Analogue,145.4000,145.4000,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V33 Analogue,Analogue,145.4125,145.4125,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V34 Analogue,Analogue,145.4250,145.4250,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V35 Analogue,Analogue,145.4375,145.4375,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V36 Analogue,Analogue,145.4500,145.4500,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V37 Analogue,Analogue,145.4625,145.4625,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V38 Analogue,Analogue,145.4750,145.4750,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V39 Analogue,Analogue,145.4875,145.4875,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V40CAL Analogue,Analogue,145.5000,145.5000,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V41 Analogue,Analogue,145.5125,145.5125,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V42 Analogue,Analogue,145.5250,145.5250,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V43 Analogue,Analogue,145.5375,145.5375,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V44 Analogue,Analogue,145.5500,145.5500,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V45 Analogue,Analogue,145.5625,145.5625,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V46 Analogue,Analogue,145.5750,145.5750,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,V47 Analogue,Analogue,145.5875,145.5875,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,U272 Analogue,Analogue,433.4000,433.4000,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,U274 Analogue,Analogue,433.4250,433.4250,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,U276 Analogue,Analogue,433.4500,433.4500,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,U278 Analogue,Analogue,433.4750,433.4750,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,U280CA Analogue,Analogue,433.5000,433.5000,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,U282 Analogue,Analogue,433.5250,433.5250,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,U284 Analogue,Analogue,433.5500,433.5500,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
,U286 Analogue,Analogue,433.5750,433.5750,25,,,,,,,,,,10%,P9,No,No,No,0,Off,No,No,None,50.9,0.6,No
